last_name, first_name,year,b_home_run,batting_avg,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,
Castellanos, Nick,2019,27,0.289,0.285,0.552,0.370,0.335,0.267,89,14,
DeShields, Delino,2019,4,0.249,0.219,0.320,0.278,0.301,0.102,86.9,13.5,
Drury, Brandon,2019,15,0.218,0.251,0.434,0.313,0.296,0.184,86.9,13.8,
Gamel, Ben,2019,7,0.248,0.232,0.351,0.302,0.326,0.119,88.2,10.1,
Goodrum, Niko,2019,12,0.248,0.241,0.398,0.310,0.317,0.157,89.3,13,
Healy, Ryon,2019,7,0.237,0.246,0.446,0.327,0.308,0.201,89.6,17,
Holaday, Bryan,2019,4,0.278,0.239,0.344,0.284,0.310,0.105,88.3,10.8,
Jones, JaCoby,2019,11,0.235,0.249,0.444,0.327,0.324,0.196,91.6,14,
Judge, Aaron,2019,27,0.272,0.277,0.575,0.401,0.388,0.298,96,11.2,
Machado, Manny,2019,32,0.256,0.267,0.474,0.349,0.346,0.207,91.2,12.9,
Moran, Colin,2019,13,0.277,0.263,0.446,0.320,0.310,0.183,88.2,12.4,
Pederson, Joc,2019,36,0.249,0.252,0.481,0.349,0.342,0.230,91.2,15.1,
Realmuto, J.T.,2019,25,0.275,0.281,0.480,0.349,0.339,0.200,90.3,14.4,
Renfroe, Hunter,2019,33,0.216,0.221,0.455,0.315,0.295,0.234,89.9,19.1,
Rosario, Eddie,2019,32,0.276,0.268,0.506,0.336,0.296,0.238,89.2,16.8,
Simmons, Andrelton,2019,7,0.264,0.244,0.331,0.276,0.292,0.087,87.8,9.5,
Wilkerson, Stevie,2019,10,0.225,0.202,0.320,0.258,0.266,0.118,86.3,11.1,
Yelich, Christian,2019,44,0.329,0.315,0.629,0.428,0.419,0.314,93.2,11.3,
Merrifield, Whit,2019,16,0.302,0.286,0.442,0.332,0.335,0.156,87,15.6,
Bogaerts, Xander,2019,33,0.309,0.278,0.484,0.361,0.359,0.206,90.6,13.2,
Hernandez, Marco,2019,2,0.250,0.217,0.284,0.237,0.249,0.066,87,6.4,
Alberto, Hanser,2019,12,0.305,0.283,0.401,0.308,0.309,0.119,84.4,11.8,
Polanco, Jorge,2019,22,0.295,0.277,0.478,0.349,0.343,0.201,88,18.9,
Sano, Miguel,2019,34,0.247,0.236,0.551,0.369,0.336,0.316,94.4,15.9,
Herrera, Rosell,2019,2,0.200,0.219,0.305,0.275,0.306,0.086,87.9,11.8,
Difo, Wilmer,2019,2,0.252,0.243,0.318,0.271,0.308,0.076,83.9,10.1,
Calhoun, Kole,2019,33,0.232,0.245,0.479,0.344,0.338,0.234,89.5,14.9,
Duvall, Adam,2019,10,0.267,0.199,0.529,0.320,0.254,0.331,91.1,25.6,
Eaton, Adam,2019,15,0.279,0.263,0.417,0.336,0.353,0.153,88.9,15.3,
Garcia, Greg,2019,4,0.248,0.223,0.311,0.302,0.346,0.088,85.9,4.5,
Kiermaier, Kevin,2019,14,0.228,0.250,0.402,0.302,0.299,0.153,89.2,6.9,
Knapp, Andrew,2019,2,0.213,0.216,0.379,0.304,0.322,0.163,89.2,16.1,
Riddle, JT,2019,6,0.189,0.204,0.393,0.267,0.244,0.190,88.9,9.9,
Alfaro, Jorge,2019,18,0.262,0.251,0.460,0.324,0.303,0.209,90.8,4.7,
Profar, Jurickson,2019,20,0.218,0.256,0.438,0.334,0.337,0.182,86.7,14,
Baez, Javier,2019,29,0.281,0.269,0.510,0.339,0.305,0.241,91.1,7.8,
Cave, Jake,2019,8,0.258,0.265,0.488,0.362,0.359,0.223,90.5,7.4,
Gallagher, Cam,2019,3,0.238,0.210,0.299,0.265,0.289,0.089,86.3,12.8,
Hedges, Austin,2019,11,0.176,0.199,0.357,0.271,0.274,0.158,86.7,21.8,
Lindor, Francisco,2019,32,0.284,0.276,0.467,0.336,0.330,0.191,91,12.2,
Odor, Rougned,2019,30,0.205,0.223,0.471,0.324,0.301,0.248,91.1,17.9,
Slater, Austin,2019,5,0.238,0.233,0.442,0.329,0.329,0.210,88.5,3.4,
Smith, Dwight,2019,13,0.241,0.241,0.378,0.295,0.298,0.137,89.1,7.3,
Story, Trevor,2019,35,0.294,0.265,0.471,0.346,0.338,0.206,91,17.5,
Vogelbach, Daniel,2019,30,0.208,0.229,0.447,0.348,0.360,0.218,88.9,17.2,
Sanchez, Gary,2019,34,0.232,0.251,0.562,0.372,0.336,0.312,91.2,19,
Cuthbert, Cheslor,2019,9,0.246,0.254,0.388,0.299,0.302,0.135,88.9,14.9,
Kepler, Max,2019,36,0.252,0.264,0.465,0.348,0.347,0.202,89.7,18.2,
Quinn, Roman,2019,4,0.213,0.201,0.341,0.284,0.296,0.141,88.9,11.7,
Franco, Maikel,2019,17,0.234,0.248,0.427,0.301,0.312,0.179,89.1,14.8,
Choi, Ji-Man,2019,19,0.261,0.264,0.500,0.369,0.369,0.236,91.2,12.8,
Bradley Jr., Jackie,2019,21,0.225,0.234,0.431,0.327,0.328,0.197,90.1,9.3,
La Stella, Tommy,2019,16,0.295,0.301,0.494,0.362,0.352,0.193,88.2,13.2,
Severino, Pedro,2019,13,0.249,0.269,0.449,0.341,0.341,0.180,87.6,13.2,
Nunez, Renato,2019,31,0.244,0.256,0.474,0.338,0.322,0.218,89.9,19.9,
Arteaga, Humberto,2019,0,0.197,0.229,0.299,0.264,0.288,0.070,84.5,9.3,
Candelario, Jeimer,2019,8,0.203,0.233,0.374,0.311,0.332,0.141,88.2,15.8,
Daza, Yonathan,2019,0,0.206,0.210,0.270,0.241,0.263,0.060,84.5,4.8,
Rondon, Jose,2019,3,0.196,0.219,0.319,0.269,0.285,0.100,87.3,8.1,
Ahmed, Nick,2019,19,0.254,0.261,0.432,0.326,0.327,0.171,87.8,7.6,
Anderson, Brian,2019,20,0.261,0.258,0.461,0.345,0.341,0.203,89.9,11.1,
Barnes, Austin,2019,5,0.203,0.194,0.305,0.261,0.286,0.112,87.2,16.4,
Bell, Josh,2019,37,0.277,0.288,0.565,0.390,0.378,0.278,92.4,12.9,
Betts, Mookie,2019,29,0.295,0.313,0.580,0.414,0.410,0.268,91,19.3,
Caratini, Victor,2019,11,0.266,0.267,0.450,0.350,0.354,0.184,89.7,7,
Davis, J.D.,2019,22,0.307,0.317,0.560,0.394,0.378,0.243,91.5,10.6,
Fisher, Derek,2019,7,0.185,0.218,0.376,0.304,0.317,0.158,92.3,9.2,
Martini, Nick,2019,1,0.226,0.241,0.310,0.299,0.344,0.069,87.7,5.4,
Panik, Joe,2019,5,0.244,0.254,0.380,0.311,0.326,0.126,86.8,12.9,
Smith, Mallex,2019,6,0.227,0.215,0.300,0.268,0.290,0.085,85.2,7.5,
Spangenberg, Cory,2019,2,0.232,0.201,0.302,0.238,0.249,0.101,85.1,-0.1,
Starling, Bubba,2019,4,0.215,0.216,0.312,0.250,0.257,0.096,81.8,12.1,
Tilson, Charlie,2019,1,0.229,0.240,0.320,0.276,0.303,0.080,86.9,4.9,
